各位同学大家好,欢迎大家继续学习我们ASLite的幻灯力量系列课程
指PPT小白精神课,那么本节课程我们将是一节石操课,
会对前面几节所讲的内容进行一个石操演练,
大家可以跟着我一起来操作练习,
本次的石操课我们将给大家展示,
如何从一个空白文档开始建立我们的主题模板,
最终将我们的Word文档以RTF格式导入到我们的PPT中,
生成我们最终的PPT文档。
新建一个幻灯片,然后我们就要开始制作我们的主题模板。
在制作主题模板之前,我们需要先定义我们的主题字体和主题颜色,
定义主题字体,我们需要点击设计,找到辨体下面的字体,
然后点击自定义,再谈出来的新建主题自定义框中,
然后我们选择一种西文字体,
我们在自定义字体的时候一般选用两种字体就可以,
西文字体是一种字体,中文字体是一种字体,
我们将中文字体定义为微软雅黑,
定义完字体以后我们进行重命名,
然后点击保存,
这个时候我们的主题字体就已经定义完成了,
接下来我们开始定义主题颜色,
那么我们直接使用Ancelad色彩库里面给大家推荐的颜色,
比如说我们直接选用第一套颜色,
我们点击应用到全部页面,
然后我们的主题颜色就已经定义成功了,
这个时候我们如果想编辑我们的主题颜色,
我们点击设计,在辨体下面找到颜色,
然后点击自定义,
这边就可以更改我们的主题颜色,
更改完以后我们点击保存即可,
那么现在我们的主题字体和主题颜色已经定义完成了,
定义完主题字体和主题颜色以后,
我们接下来打开Ancelad的设计工具,
找到一件优化下面的智能参考线,
然后我们选择推荐的预设参考线,
点击确定,
这个时候参考线就已经自动生成了,
接下来我们就可以开始正式制作我们的主题模板,
我们点击试图,
打开换灯片模板试图,
首先我们需要删除一些无用板式,
删除完无用板式以后,
我们就可以正式开始我们今天的制作,
首先我们在制作一个换灯片的时候,
我们一般会有一个固定元素,
所谓固定元素就是我们需要从头到尾都出现在一个位置的元素,
比如说我们的企业logo,
那么我们固定元素一般是在顶部的模板试图上面去制作的,
接下来我们可以打开Ancelad的插件,
在图标库里面找到一个图标来代替我们的企业logo,
比如说我们下载这一个图标,
然后我们将它做一些修改,
我们拖动复制几个,
然后将它们组合,
用这个来代替我们的企业logo,
然后我们需要将它对极到我们左边的参考线,
我们使用参考线布局工具,
我们点击Ancelad的点击设计工具,
会打开我们的设计工具蓝,
然后我们点击参考线布局,
点击左对齐,
点击下对齐,
然后会已经用到我们的参考线,
这个时候会发现我们下面所有的页面都已经将我们的企业logo展现出来了,
如果说我想在某一页去关闭我们的企业logo,
我们只需要点击换灯片模板试图,
勾选,隐藏背景图形就可以,
如果想再次打开,
我们将这个对勾勾选掉就可以,
那么包括下面的页面页角也是同样的,
我们点击页角关闭,
或者点击页角打开,
那么接下来我们要开始制作我们的封面板式,
那么这两个文本框呢,
其实是两个文本站位幅,
我们直接可以用它去编辑,
如果说你不小心删掉了,
你可以在插入站位幅里面找到文本站位幅再次插入,
那么现在我们就直接可以对它进行编辑,
比如说我们可以先用参考线布局让它左对齐,
然后我们调整文字大小,
调整文本框的大小,
我们给它加粗,
那么右边呢,
比如说我们有了丰富页面,
我们需要插入一个插画,
那么我们点击slight的找到插图库,
找到一张插图点击下载,
然后呢,
我们调整页面布局,
让它放置在合适的位置,
那因为时间有限,
我们不能做的特别精美,
那么我们就是为了演示我们如何去制作我们的主题模板,
那么接下来,
我们可以对文字再次编辑,
比如说我们给文字变换一下颜色,
我们点击文字,找到开始,
然后我们去计划颜色,
那这个时候我们一定要注意使用上面的主题颜色,
比如说我们选择将字体变成橙色,
将下面这个字体变为主题色里面的灰色,
然后我们给它加粗,
那么这个时候我们的封面主题样式就制作完成了,
接下来我们来制作目录页的主题样式,
首先我们对它缩小,
然后我们适用参考线布局工具,
快速对起,
然后调整内容格式,
比如说我们将它的颜色也做一下修改,
那么右边呢,
比如说我们现在需要插入一张图片,
我们点开slight的插件,
我们找到图片库,
我们选择一张图片,
点击插入,
调整图片的大小,
将它方式在合适的位置,
那么这个是我们目录页的一个大概样式,
我们就制作完成了,
接下来我们开始制作章节过渡页,
依然是调整文猛框的大小,
然后我们给它加粗,
然后调整字体颜色,
我们选择右对齐,
那章节过渡页这块呢,
比如说我们这个图片是要做更换的,
我们不是统一的一张图片,
我们每一个章节过渡页图片,
我们都要去更换,
那么我们就插入,
图片站位幅,
那我们的章节过渡页就制作完成了,
接下来是我们的内容页,
那比如说这个是我们的标题,
然后我们将它,
加粗,
然后调整颜色,
然后调整字体大小,
然后适用参考相布局工具进行快速对齐,
然后我们再插入文本站位幅,
用于将来呈在我们的内容,
好,那我们的内容框架页就制作完成了,
那么接下来我们就关闭换灯片模板试图,
回到我们的编辑页面,
然后接下来我们就要从Word的文档去导入我们的RTF格式,
然后快速适用于我们当前的主题,
现在大家看到我打开的就是一个标中的Word文档,
那么接下来我要对Word文档所有的文字进行标题风急,
以用于导出RTF格式套用在我们的PPT里面,
那么我们将它设为一级标题,
同时我们也可以对标题的样式进行修改,
比如说我们使用4号字体,
然后缩小行句,
点击确定,
那么将它设为二级标题,
同样的我们修改它的大小,
那么将它设为三级标题,
点击确定,
那么这个是我们的一级标题,
这些是我们的二级标题,
那这个是一级标题,
这个是我们的二级标题,
一级标题,
二级标题,
一级标题,
二级标题,
一级标题,
二级标题,
那到这里,
我们所有的文档标题风机就已经制作完成了,
那这个时候我们点击F12,
将我们的文档另称为RTF格式,
好,我们点击保存,
点击保存,
这个时候我们关闭Wall的文档,
然后回到我们的PPT,
我们点击新建换灯片,
插入换灯片从大纲,
然后选择刚刚我们保存的RTF格式文档,
然后我们点击插入,
然后这个时候就会发现它已经新创建了这么多页的PPT,
那么接下来我们就要开始套用我们的主题,
那么这个应该是我们的封面,
我们只需要右键找到板式,
在板式里面选择我们刚刚制作的封面板式,
我们点击确定,
这个时候我们就发现它已经实现了一键套用,
那么接下来是我们的目录页,
我们点击板式,
找到我们的目录页,
那么刚刚我们设置的目录页应该是这一页,
然后我们点击确定,
会发现它的目录页已经做了套用,
那么这个时候我们也是可以进行二次编辑的,
如果说我们编辑错过了,
我们想回到初始状态,
我们只需要点击重置就可以,
那这个应该是我们的章节过渡页,
那么选择我们的章节过渡页的板式,
这个时候会发现我们的章节过渡页已经套用了,
那么我们依然是可以进行二次编辑的,
那这个时候会发现,
我们在设计板式的时候,
这一页其实设计出现了一点点错误,
我们右边不应该进行右对齐,
那么我想改变板式,
我们可以继续打开我们的换灯片模板,
直接可以对我们的板式进行调整,
承认完以后我们点击关闭,
模板试图,
然后回到我们的页面点击重置,
会发现它已经就重置成功了,
然后我们点击图片站位服,
点击一下打开图片库,
打开我们电脑上的图片库,
然后找到我们的图片点击确定插入,
那么这个时候我们的章节过渡页就制作完成了,
接下来是我们的内容页,
我们点击板式,
找到我们需要适用的板式地图,
